seed,provisioning_delay_epochs,horizon_epochs,miss_to_action_cost_ratio,policy,test_epochs,severe_event_prevalence,training_severe_p95_threshold_ms,missed_event_fraction,event_coverage_fraction,action_rate,normalized_cost,threshold
20260727,3,4,5,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.46,
20260727,3,4,5,snapshot_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,0.6,0.13425071052444856
20260727,3,4,5,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.16,0.45999999999999996,0.10850673917022802
20260727,3,4,5,delay_aware_hybrid,50,0.08,46.00000000000003,0.08,0.0,0.1,0.5,1.0
20260727,3,4,10,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,0.8,
20260727,3,4,10,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,3,4,10,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,0.8600000000000001,
20260727,3,4,10,snapshot_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,0.8999999999999999,0.13425071052444856
20260727,3,4,10,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.16,0.76,0.10850673917022802
20260727,3,4,10,delay_aware_hybrid,50,0.08,46.00000000000003,0.04,0.5,0.68,1.08,0.08106483610645916
20260727,3,4,20,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,1.6,
20260727,3,4,20,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,3,4,20,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,1.6600000000000001,
20260727,3,4,20,snapshot_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,1.5,0.13425071052444856
20260727,3,4,20,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.16,1.3599999999999999,0.10850673917022802
20260727,3,4,20,delay_aware_hybrid,50,0.08,46.00000000000003,0.04,0.5,0.68,1.48,0.08106483610645916
20260727,3,4,50,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,4.0,
20260727,3,4,50,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
